,labels,x1,x2,x3,x4,x5,x6,x7
0,-627.0625729528277,12.342406621791671,25.754265842480102,62.46581089970231,-24.03581820875822,12.543768945545793,72.4883729651327,44.02816631803916
1,-204.59249369538963,12.549242709788047,44.10837399062992,45.87169895609582,18.71264252311541,12.783123452764618,54.93934032661352,63.65299484421311
2,-45.98831996733,11.97494014321984,41.87123963612135,59.06314931502965,38.69933224414134,23.032345470121577,89.165083622434,39.70096955070913
3,-674.86588896466,12.08596364832067,30.859806855883363,9.485629038767348,40.83731226493782,18.043430919625948,158.37220738542823,93.78038758422737
4,-595.229645010874,12.161406910935748,42.25386961627776,69.04571703650586,5.256974780077973,19.37051746380374,114.79469459751454,60.22241266209318
5,-263.635911835227,12.587421432928512,24.09277129814843,29.816143368434904,21.0730828543363,14.421307229116664,80.48202086195029,49.73064735946383
6,-1231.2287918713246,11.704967378414997,15.225874905345885,44.75535234984728,-18.47121892772702,22.791118122952923,176.20054614265564,76.52158194077032
7,-650.8613215981053,12.18414841156037,36.9665189927309,51.49711881561213,-4.510574538698451,10.124269355763765,128.77023804021798,29.527697066913497
8,-860.9171124359755,12.345247823702854,42.248340237876704,54.5477212372775,-14.425964253483185,11.184067305632285,105.82149551476061,77.31098789343521
9,-235.6639269085772,12.219017158709601,28.40566635167363,31.40333143212759,31.971571050816888,19.731637379310015,61.08564545247588,89.61552647026431
10,-762.6944094848196,12.302132856175977,29.57625445867034,42.00228621755594,-3.8744403457221503,17.144905539157943,95.63159321749126,91.51135816111403
11,-716.555581420097,12.189935300567933,28.963614142984905,19.535054912600415,7.80924268489027,21.5594856559701,175.6266564118883,26.294241825991868
12,-1232.215755547731,12.07963831357433,26.24692302202694,48.417322266551096,-35.264058654160785,17.598674357190877,133.48615490670034,87.0678930220822
13,-480.0723872294828,11.722000444659658,31.42639340068157,64.24428644727672,57.80407785188312,19.577344901874184,171.78722869230552,74.97518080830338
14,-584.9983611984946,12.60457193913429,38.17988126382203,4.233511891452218,10.666297264572046,14.021860917906139,98.33985256801543,80.87489302194042
15,-203.392909577397,12.122016908363602,39.40303191100157,68.27630888683237,32.69755429295451,13.347376833425377,84.63095153199839,57.85218430631626
